MeV,eV,flux,error
3.03E-07,3.03E-01,1.98E-06,0.0028
3.11E-07,3.11E-01,1.96E-06,0.0028
3.19E-07,3.19E-01,1.94E-06,0.0028
3.28E-07,3.28E-01,1.93E-06,0.0028
3.36E-07,3.36E-01,1.92E-06,0.0028
3.45E-07,3.45E-01,1.90E-06,0.0028
3.54E-07,3.54E-01,1.89E-06,0.0028
3.64E-07,3.64E-01,1.88E-06,0.0028
3.74E-07,3.74E-01,1.87E-06,0.0028
3.84E-07,3.84E-01,1.85E-06,0.0028
3.94E-07,3.94E-01,1.85E-06,0.0028
4.04E-07,4.04E-01,1.84E-06,0.0028
4.15E-07,4.15E-01,1.82E-06,0.0028
4.26E-07,4.26E-01,1.82E-06,0.0028
4.38E-07,4.38E-01,1.81E-06,0.0028
4.49E-07,4.49E-01,1.80E-06,0.0028
4.61E-07,4.61E-01,1.79E-06,0.0028
4.73E-07,4.73E-01,1.78E-06,0.0028
4.86E-07,4.86E-01,1.77E-06,0.0028
4.99E-07,4.99E-01,1.76E-06,0.0028
5.12E-07,5.12E-01,1.75E-06,0.0028
5.26E-07,5.26E-01,1.75E-06,0.0028
5.40E-07,5.40E-01,1.74E-06,0.0028
5.54E-07,5.54E-01,1.73E-06,0.0028
5.69E-07,5.69E-01,1.72E-06,0.0028
5.84E-07,5.84E-01,1.72E-06,0.0028
6.00E-07,6.00E-01,1.71E-06,0.0028
6.16E-07,6.16E-01,1.70E-06,0.0028
6.32E-07,6.32E-01,1.70E-06,0.0028
6.49E-07,6.49E-01,1.69E-06,0.0028
6.67E-07,6.67E-01,1.68E-06,0.0028
6.84E-07,6.84E-01,1.68E-06,0.0028
7.03E-07,7.03E-01,1.67E-06,0.0028
7.21E-07,7.21E-01,1.67E-06,0.0028
7.41E-07,7.41E-01,1.66E-06,0.0028
7.60E-07,7.60E-01,1.65E-06,0.0028
7.81E-07,7.81E-01,1.65E-06,0.0028
8.02E-07,8.02E-01,1.64E-06,0.0028
8.23E-07,8.23E-01,1.64E-06,0.0028
8.45E-07,8.45E-01,1.63E-06,0.0028
8.67E-07,8.67E-01,1.63E-06,0.0028
8.91E-07,8.91E-01,1.62E-06,0.0028
9.14E-07,9.14E-01,1.62E-06,0.0028
9.39E-07,9.39E-01,1.61E-06,0.0028
9.64E-07,9.64E-01,1.61E-06,0.0028
9.90E-07,9.90E-01,1.60E-06,0.0028
1.02E-06,1.02E+00,1.59E-06,0.0028
1.04E-06,1.04E+00,1.59E-06,0.0028
1.07E-06,1.07E+00,1.59E-06,0.0028
1.10E-06,1.10E+00,1.58E-06,0.0028
