Filename,keff value
o_b8hcp-caseSC-c2100-r68_98-d2o96_8-v1800.o,0.90623
o_b8hcp-caseSC-c2100-r71_14-d2o96_8-v2000.o,0.92714
o_b8hcp-caseSC-c2100-r72_18-d2o96_8-v2100.o,0.93644
o_b8hcp-caseSC-c2100-r73_18-d2o96_8-v2200.o,0.94506
o_b8hcp-caseSC-c2100-r74_16-d2o96_8-v2300.o,0.95223
o_b8hcp-caseSC-c2100-r75_11-d2o96_8-v2400.o,0.95943
o_b8hcp-caseSC-c2100-r76_04-d2o96_8-v2500.o,0.96560
o_b8hcp-caseSC-c2100-r76_95-d2o96_8-v2600.o,0.97109
o_b8hcp-caseSC-c2100-r77_83-d2o96_8-v2700.o,0.97698
o_b8hcp-caseSC-c2100-r78_70-d2o96_8-v2800.o,0.98177
o_b8hcp-caseSC-c2100-r79_55-d2o96_8-v2900.o,0.98643
o_b8hcp-caseSC-c2100-r80_38-d2o96_8-v3000.o,0.99012
o_b8hcp-caseSC-c2100-r81_19-d2o96_8-v3100.o,0.99433
o_b8hcp-caseSC-c2100-r81_99-d2o96_8-v3200.o,0.99752
o_b8hcp-caseSC-c2100-r82_77-d2o96_8-v3300.o,1.00105
o_b8hcp-caseSC-c2100-r83_53-d2o96_8-v3400.o,1.00378
o_b8hcp-caseSC-c2100-r84_29-d2o96_8-v3500.o,1.00663
o_b8hcp-caseSC-c2100-r85_03-d2o96_8-v3600.o,1.00867
o_b8hcp-caseSC-c2100-r85_76-d2o96_8-v3700.o,1.01095
o_b8hcp-caseSC-c2100-r86_47-d2o96_8-v3800.o,1.01335
o_b8hcp-caseSC-c2100-r87_87-d2o96_8-v4000.o,1.01647
o_b8hcp-caseSC-c2100-r88_55-d2o96_8-v4100.o,1.01809
o_b8hcp-caseSC-c2100-r89_22-d2o96_8-v4200.o,1.01938
o_b8hcp-caseSC-c2200-r61_69-d2o96_8-v1200.o,0.77915
o_b8hcp-caseSC-c2200-r64_36-d2o96_8-v1400.o,0.81670
o_b8hcp-caseSC-c2200-r69_12-d2o96_8-v1800.o,0.87584
o_b8hcp-caseSC-c2200-r71_27-d2o96_8-v2000.o,0.89870
o_b8hcp-caseSC-c2200-r72_30-d2o96_8-v2100.o,0.90891
o_b8hcp-caseSC-c2200-r73_30-d2o96_8-v2200.o,0.91819
o_b8hcp-caseSC-c2200-r74_28-d2o96_8-v2300.o,0.92695
o_b8hcp-caseSC-c2200-r75_23-d2o96_8-v2400.o,0.93516
o_b8hcp-caseSC-c2200-r76_15-d2o96_8-v2500.o,0.94232
o_b8hcp-caseSC-c2200-r77_06-d2o96_8-v2600.o,0.94938
o_b8hcp-caseSC-c2200-r77_94-d2o96_8-v2700.o,0.95546
o_b8hcp-caseSC-c2200-r78_81-d2o96_8-v2800.o,0.96195
o_b8hcp-caseSC-c2200-r79_65-d2o96_8-v2900.o,0.96710
o_b8hcp-caseSC-c2200-r80_48-d2o96_8-v3000.o,0.97225
o_b8hcp-caseSC-c2200-r81_29-d2o96_8-v3100.o,0.97707
o_b8hcp-caseSC-c2200-r82_08-d2o96_8-v3200.o,0.98109
o_b8hcp-caseSC-c2200-r82_86-d2o96_8-v3300.o,0.98571
o_b8hcp-caseSC-c2200-r83_63-d2o96_8-v3400.o,0.98903
o_b8hcp-caseSC-c2200-r84_38-d2o96_8-v3500.o,0.99264
o_b8hcp-caseSC-c2200-r85_12-d2o96_8-v3600.o,0.99644
o_b8hcp-caseSC-c2200-r85_85-d2o96_8-v3700.o,0.99877
o_b8hcp-caseSC-c2200-r86_56-d2o96_8-v3800.o,1.00190
o_b8hcp-caseSC-c2200-r87_95-d2o96_8-v4000.o,1.00710
o_b8hcp-caseSC-c2200-r88_63-d2o96_8-v4100.o,1.00917
o_b8hcp-caseSC-c2200-r89_30-d2o96_8-v4200.o,1.01114
