output_filename,cubes,modr v L,core r cm,keff,keff unc,therm fis %
o_b8hcp-caseSC-c1550-r63_30-d2o96_8-v1400.o,1550.0,1400.0,63.30142,0.87719,0.00018,79.86
o_b8hcp-caseSC-c1550-r68_21-d2o96_8-v1800.o,1550.0,1800.0,68.20721,0.92495,0.00019,83.06
o_b8hcp-caseSC-c1550-r72_49-d2o96_8-v2200.o,1550.0,2200.0,72.4936,0.957,0.00023,85.09
o_b8hcp-caseSC-c1550-r76_33-d2o96_8-v2600.o,1550.0,2600.0,76.32542,0.97768,0.00019,86.46
o_b8hcp-caseSC-c1550-r79_81-d2o96_8-v3000.o,1550.0,3000.0,79.80688,0.9906,0.00017,87.47
o_b8hcp-caseSC-c1550-r83_01-d2o96_8-v3400.o,1550.0,3400.0,83.00852,0.99926,0.0002,88.21
o_b8hcp-caseSC-c1550-r85_98-d2o96_8-v3800.o,1550.0,3800.0,85.98057,1.00362,0.00016,88.78
o_b8hcp-caseSC-c1550-r88_76-d2o96_8-v4200.o,1550.0,4200.0,88.76024,1.00653,0.00018,89.22
o_b8hcp-caseSC-c1600-r60_62-d2o96_8-v1200.o,1600.0,1200.0,60.62467,0.84217,0.00017,77.34
o_b8hcp-caseSC-c1600-r63_38-d2o96_8-v1400.o,1600.0,1400.0,63.38406,0.87626,0.00016,79.71
o_b8hcp-caseSC-c1600-r68_28-d2o96_8-v1800.o,1600.0,1800.0,68.27841,0.92548,0.00018,82.95
o_b8hcp-caseSC-c1600-r72_56-d2o96_8-v2200.o,1600.0,2200.0,72.55663,0.95727,0.00018,84.98
o_b8hcp-caseSC-c1600-r76_38-d2o96_8-v2600.o,1600.0,2600.0,76.3823,0.97843,0.00019,86.41
o_b8hcp-caseSC-c1600-r79_86-d2o96_8-v3000.o,1600.0,3000.0,79.85891,0.99185,0.00018,87.4
o_b8hcp-caseSC-c1600-r83_06-d2o96_8-v3400.o,1600.0,3400.0,83.05661,1.00045,0.00022,88.15
o_b8hcp-caseSC-c1600-r86_03-d2o96_8-v3800.o,1600.0,3800.0,86.0254,1.00613,0.00019,88.73
o_b8hcp-caseSC-c1600-r88_80-d2o96_8-v4200.o,1600.0,4200.0,88.80231,1.00831,0.00017,89.17
o_b8hcp-caseSC-c1650-r60_71-d2o96_8-v1200.o,1650.0,1200.0,60.71475,0.84446,0.0002,77.41
o_b8hcp-caseSC-c1650-r63_47-d2o96_8-v1400.o,1650.0,1400.0,63.46648,0.87863,0.00018,79.78
o_b8hcp-caseSC-c1650-r68_35-d2o96_8-v1800.o,1650.0,1800.0,68.34946,0.92738,0.00017,82.98
o_b8hcp-caseSC-c1650-r72_62-d2o96_8-v2200.o,1650.0,2200.0,72.61956,0.95908,0.00015,85.02
o_b8hcp-caseSC-c1650-r76_44-d2o96_8-v2600.o,1650.0,2600.0,76.43909,0.98015,0.00023,86.41
o_b8hcp-caseSC-c1650-r79_91-d2o96_8-v3000.o,1650.0,3000.0,79.91087,0.99357,0.00018,87.43
o_b8hcp-caseSC-c1650-r83_10-d2o96_8-v3400.o,1650.0,3400.0,83.10465,1.00213,0.0002,88.16
o_b8hcp-caseSC-c1650-r86_07-d2o96_8-v3800.o,1650.0,3800.0,86.07018,1.00767,0.00019,88.73
o_b8hcp-caseSC-c1650-r88_84-d2o96_8-v4200.o,1650.0,4200.0,88.84434,1.01021,0.0002,89.19
o_b8hcp-caseSC-c1700-r60_80-d2o96_8-v1200.o,1700.0,1200.0,60.80457,0.84559,0.00014,77.36
o_b8hcp-caseSC-c1700-r63_55-d2o96_8-v1400.o,1700.0,1400.0,63.54869,0.8796,0.00013,79.76
o_b8hcp-caseSC-c1700-r68_42-d2o96_8-v1800.o,1700.0,1800.0,68.42036,0.92866,0.00015,82.97
o_b8hcp-caseSC-c1700-r72_68-d2o96_8-v2200.o,1700.0,2200.0,72.68238,0.96048,0.00011,85.01
o_b8hcp-caseSC-c1700-r76_50-d2o96_8-v2600.o,1700.0,2600.0,76.49579,0.98119,0.00013,86.41
o_b8hcp-caseSC-c1700-r79_96-d2o96_8-v3000.o,1700.0,3000.0,79.96276,0.99493,0.00012,87.42
o_b8hcp-caseSC-c1700-r83_15-d2o96_8-v3400.o,1700.0,3400.0,83.15263,1.00364,0.00012,88.17
o_b8hcp-caseSC-c1700-r86_11-d2o96_8-v3800.o,1700.0,3800.0,86.11492,1.0088,0.00014,88.74
o_b8hcp-caseSC-c1700-r88_89-d2o96_8-v4200.o,1700.0,4200.0,88.88632,1.01131,0.00016,89.19
o_b8hcp-caseSC-c1750-r88_93-d2o96_8-v4200.o,1750.0,4200.0,88.92827,1.01236,0.00013,89.19
o_b8hcp-caseSC-c1800-r60_98-d2o96_8-v1200.o,1800.0,1200.0,60.9834,0.84662,0.00011,77.18
o_b8hcp-caseSC-c1800-r63_71-d2o96_8-v1400.o,1800.0,1400.0,63.71248,0.88089,0.00013,79.63
o_b8hcp-caseSC-c1800-r68_56-d2o96_8-v1800.o,1800.0,1800.0,68.56172,0.93029,0.00012,82.88
